COMPLETED TRANSACTIONS 

State: 1, Taxi ID Number: 175, Distance to Customer: 12.0
State: 1, Taxi ID Number: 178, Distance to Customer: 33.12099032335839
State: 1, Taxi ID Number: 254, Distance to Customer: 11.40175425099138
State: 1, Taxi ID Number: 231, Distance to Customer: 28.284271247461902
State: 1, Taxi ID Number: 222, Distance to Customer: 18.973665961010276
State: 1, Taxi ID Number: 330, Distance to Customer: 32.7566787083184
State: 1, Taxi ID Number: 385, Distance to Customer: 22.360679774997898
State: 1, Taxi ID Number: 283, Distance to Customer: 34.0
State: 1, Taxi ID Number: 163, Distance to Customer: 13.416407864998739
State: 1, Taxi ID Number: 29, Distance to Customer: 14.142135623730951
State: 1, Taxi ID Number: 284, Distance to Customer: 32.2490309931942
State: 1, Taxi ID Number: 380, Distance to Customer: 25.238858928247925
State: 1, Taxi ID Number: 92, Distance to Customer: 30.610455730027933
State: 1, Taxi ID Number: 73, Distance to Customer: 25.96150997149434
State: 1, Taxi ID Number: 272, Distance to Customer: 27.313000567495326
State: 1, Taxi ID Number: 211, Distance to Customer: 21.93171219946131
State: 1, Taxi ID Number: 375, Distance to Customer: 26.92582403567252
State: 1, Taxi ID Number: 287, Distance to Customer: 24.041630560342615
State: 1, Taxi ID Number: 99, Distance to Customer: 22.090722034374522
State: 1, Taxi ID Number: 273, Distance to Customer: 8.06225774829855
State: 1, Taxi ID Number: 310, Distance to Customer: 26.92582403567252
State: 1, Taxi ID Number: 25, Distance to Customer: 11.704699910719626
State: 1, Taxi ID Number: 234, Distance to Customer: 31.76476034853718
State: 1, Taxi ID Number: 343, Distance to Customer: 24.186773244895647
State: 1, Taxi ID Number: 271, Distance to Customer: 35.805027579936315
State: 1, Taxi ID Number: 279, Distance to Customer: 36.124783736376884
State: 1, Taxi ID Number: 165, Distance to Customer: 19.697715603592208
State: 1, Taxi ID Number: 242, Distance to Customer: 31.04834939252005
State: 1, Taxi ID Number: 196, Distance to Customer: 12.529964086141668
State: 1, Taxi ID Number: 382, Distance to Customer: 30.805843601498726
